"Metabolite","Sequence","Field","Location","ICC"
"Mac","steam","3","ul",0.877751086300848
"Mac","steam","3","ll",0.506539735486956
"Mac","slaser","3","ul",0.395512980140696
"Mac","slaser","3","ll",-0.0491493383742912
"Mac","slaser","7","ul",0.7172943412458
"Mac","slaser","7","ll",0.66245684110038
"Asc","steam","3","ul",0.261927732432089
"Asc","steam","3","ll",-0.714334553438695
"Asc","steam","7","ul",-0.19644461658113
"Asc","steam","7","ll",0.0107202793632645
"Asc","slaser","3","ul",0.563006410118901
"Asc","slaser","3","ll",0.626591659644975
"Asc","slaser","7","ul",0.435523019230667
"Asc","slaser","7","ll",0.694545157930268
"Asp","steam","3","ul",0.530860917420752
"Asp","steam","3","ll",0.188333808681774
"Asp","steam","7","ul",0
"Asp","steam","7","ll",0.0842514069888467
"Asp","slaser","3","ul",0.507114794283866
"Asp","slaser","3","ll",0.347202499754169
"Asp","slaser","7","ul",0.151780463880564
"Asp","slaser","7","ll",-0.0216673477765852
"PCho","steam","3","ul",0.103166615385355
"PCho","steam","3","ll",-1.56913570861155e-16
"PCho","steam","7","ul",0.52162485516043
"PCho","steam","7","ll",0.525058153507575
"PCho","slaser","3","ul",0.434635503277541
"PCho","slaser","3","ll",NA
"PCho","slaser","7","ul",0.590063434160681
"PCho","slaser","7","ll",0.807067192107946
"GPC","steam","3","ul",0.614665526611445
"GPC","steam","3","ll",0.855917335535486
"GPC","steam","7","ul",0.913263989824713
"GPC","steam","7","ll",0.862304736544971
"GPC","slaser","3","ul",-0.0327769129660305
"GPC","slaser","3","ll",0.920113263316325
"GPC","slaser","7","ul",0.223784842255909
"GPC","slaser","7","ll",0.816100243673659
"Cr","steam","3","ul",-0.292389514754248
"Cr","steam","3","ll",0.517656602629838
"Cr","steam","7","ul",0.777515578379694
"Cr","steam","7","ll",0.158444712136997
"Cr","slaser","3","ul",0.672641265043747
"Cr","slaser","3","ll",0.364347549728402
"Cr","slaser","7","ul",0.747751852187276
"Cr","slaser","7","ll",-0.576090038776837
"PCr","steam","3","ul",-0.292389480728404
"PCr","steam","3","ll",0.517656606731061
"PCr","steam","7","ul",0.77751557837969
"PCr","steam","7","ll",0.158444712136997
"PCr","slaser","3","ul",0.361886271935348
"PCr","slaser","3","ll",0.274573728659672
"PCr","slaser","7","ul",0.747751852187276
"PCr","slaser","7","ll",-0.576090038776834
"GABA","steam","3","ul",0.776633935944134
"GABA","steam","3","ll",-0.276035932623454
"GABA","steam","7","ul",0.263439764774296
"GABA","steam","7","ll",-0.129366567776066
"GABA","slaser","3","ul",-0.427570344351315
"GABA","slaser","3","ll",0.301080671397282
"GABA","slaser","7","ul",0.690532654849501
"GABA","slaser","7","ll",0.310156437156566
"Glc","steam","3","ul",0.395603958033289
"Glc","steam","3","ll",0.0790050441181195
"Glc","steam","7","ul",0.852097813139069
"Glc","steam","7","ll",0.240947738138773
"Glc","slaser","3","ul",0.171004444167082
"Glc","slaser","3","ll",0.259568562407609
"Glc","slaser","7","ul",0.294523806543077
"Glc","slaser","7","ll",0.297246202238678
"Gln","steam","3","ul",0.512358877731313
"Gln","steam","3","ll",0.0648568162795163
"Gln","steam","7","ul",0.785526644512633
"Gln","steam","7","ll",-0.0983757049907738
"Gln","slaser","3","ul",0.395781945786626
"Gln","slaser","3","ll",0.661394829984501
"Gln","slaser","7","ul",0.877995661408194
"Gln","slaser","7","ll",0.605756515668498
"Glu","steam","3","ul",0.127129095718187
"Glu","steam","3","ll",-0.190701958296495
"Glu","steam","7","ul",0.19925261405026
"Glu","steam","7","ll",0.0541941472123216
"Glu","slaser","3","ul",-0.109844067634171
"Glu","slaser","3","ll",0.116001118741442
"Glu","slaser","7","ul",0.582856800907206
"Glu","slaser","7","ll",0.680619516801705
"GSH","steam","3","ul",0.744589381151348
"GSH","steam","3","ll",0.493269774264733
"GSH","steam","7","ul",0.119702882238875
"GSH","steam","7","ll",0.420145856894079
"GSH","slaser","3","ul",-0.307059980574049
"GSH","slaser","3","ll",0.764390675893926
"GSH","slaser","7","ul",0.8358973989118
"GSH","slaser","7","ll",0.458096386612026
"Ins","steam","3","ul",0.60345704334417
"Ins","steam","3","ll",0.726548492582159
"Ins","steam","7","ul",0.6661518705003
"Ins","steam","7","ll",0.11943610739127
"Ins","slaser","3","ul",-0.41283224837228
"Ins","slaser","3","ll",0.651420567313292
"Ins","slaser","7","ul",-0.523371783026291
"Ins","slaser","7","ll",0.837389762113912
"NAA","steam","3","ul",0.848344161620005
"NAA","steam","3","ll",0.706115773192817
"NAA","steam","7","ul",0.822020888910911
"NAA","steam","7","ll",0.269967744012799
"NAA","slaser","3","ul",0.929919677792531
"NAA","slaser","3","ll",0.273086476859743
"NAA","slaser","7","ul",0.851563002777507
"NAA","slaser","7","ll",0.535789642099689
"NAAG","steam","3","ul",0.573088442171419
"NAAG","steam","3","ll",0.0604936482744745
"NAAG","steam","7","ul",0.931884313234202
"NAAG","steam","7","ll",0.0861469651362343
"NAAG","slaser","3","ul",0.255420792790556
"NAAG","slaser","3","ll",-0.0958798511744042
"NAAG","slaser","7","ul",0.718308549040849
"NAAG","slaser","7","ll",0.392750142733347
"PE","steam","3","ul",0.302483831288104
"PE","steam","3","ll",-0.474360732145794
"PE","steam","7","ul",0.712495724329085
"PE","steam","7","ll",-0.41488094817692
"PE","slaser","3","ul",0.866537305113542
"PE","slaser","3","ll",0.688403258410899
"PE","slaser","7","ul",0.381987538861124
"PE","slaser","7","ll",0.629045489639388
"sIns","steam","3","ul",0.561835669957868
"sIns","steam","3","ll",0.40008019661623
"sIns","steam","7","ul",0.974672283341809
"sIns","steam","7","ll",-0.248004176455305
"sIns","slaser","3","ul",0.752757314094385
"sIns","slaser","3","ll",0.603578765082954
"sIns","slaser","7","ul",0.78330056746139
"sIns","slaser","7","ll",0.857087204076042
"Tau","steam","3","ul",0.634316681814896
"Tau","steam","3","ll",-0.111123113152473
"Tau","steam","7","ul",0.695511226731532
"Tau","steam","7","ll",0.286751567441009
"Tau","slaser","3","ul",0.134186120725502
"Tau","slaser","3","ll",0.254382641743895
"Tau","slaser","7","ul",0.293982488074962
"Tau","slaser","7","ll",0.628058356864783
"Cr_PCr","steam","3","ul",NA
"Cr_PCr","steam","3","ll",NA
"Cr_PCr","steam","7","ul",NA
"Cr_PCr","steam","7","ll",NA
"Cr_PCr","slaser","3","ul",NA
