Metabolite,Sequence,Field,Location,ICC
Mac,steam,3,ul,0.85629583
Mac,steam,3,ll,0.500036879
Mac,slaser,3,ul,-0.363921952
Mac,slaser,3,ll,-0.123664835
Mac,slaser,7,ul,0.444048209
Mac,slaser,7,ll,0.730395674
Asc,steam,3,ul,0.298748765
Asc,steam,3,ll,-0.534018712
Asc,steam,7,ul,-0.022730763
Asc,steam,7,ll,-0.079899726
Asc,slaser,3,ul,0.384050618
Asc,slaser,3,ll,0.448549837
Asc,slaser,7,ul,0.583205203
Asc,slaser,7,ll,0.532085528
Asp,steam,3,ul,0.369982956
Asp,steam,3,ll,0.328258445
Asp,steam,7,ul,-1.10E-16
Asp,steam,7,ll,0.132949247
Asp,slaser,3,ul,0.385676094
Asp,slaser,3,ll,0.78541487
Asp,slaser,7,ul,0.617600413
Asp,slaser,7,ll,-0.023190726
PCho,steam,3,ul,0.101335127
PCho,steam,3,ll,-8.70E-17
PCho,steam,7,ul,0.4843555
PCho,steam,7,ll,0.476248509
PCho,slaser,3,ul,0.434063983
PCho,slaser,3,ll,NA
PCho,slaser,7,ul,0.579799335
PCho,slaser,7,ll,0.800057244
GPC,steam,3,ul,0.39803192
GPC,steam,3,ll,0.261672922
GPC,steam,7,ul,0.875912502
GPC,steam,7,ll,0.902753609
GPC,slaser,3,ul,-0.142314613
GPC,slaser,3,ll,0.697460423
GPC,slaser,7,ul,0.092923358
GPC,slaser,7,ll,0.906831287
Cr,steam,3,ul,0.221046279
Cr,steam,3,ll,0.649376365
Cr,steam,7,ul,0.845674996
Cr,steam,7,ll,0.216498105
Cr,slaser,3,ul,0.857668786
Cr,slaser,3,ll,0.881608404
Cr,slaser,7,ul,0.71898978
Cr,slaser,7,ll,0.070589498
PCr,steam,3,ul,-0.31611789
PCr,steam,3,ll,0.423231766
PCr,steam,7,ul,0.754103152
PCr,steam,7,ll,0.173221488
PCr,slaser,3,ul,0.509572263
PCr,slaser,3,ll,0.904092667
