"Metabolite","Sequence","Location","Field","Mean_CV_tCr","Mean_CV_tissue"
"Mac","steam","ul",3,3.61850408988078,2.85458629072243
"Mac","steam","ll",3,11.3258252782372,9.76919493689734
"Mac","steam","ul",7,NA,NA
"Mac","steam","ll",7,NA,NA
"Mac","slaser","ul",3,13.0364541495088,23.0520183086726
"Mac","slaser","ll",3,6.41770321260292,21.0409200224257
"Mac","slaser","ul",7,3.15660561158722,3.28270560294101
"Mac","slaser","ll",7,2.3550112708615,2.51674679643352
"Asp","steam","ul",3,10.4038144071025,10.15447988368
"Asp","steam","ll",3,19.5320605783624,17.2445451155706
"Asp","steam","ul",7,NA,NA
"Asp","steam","ll",7,41.1785691187935,37.7729155682395
"Asp","slaser","ul",3,10.8676362978675,14.5397726256796
"Asp","slaser","ll",3,7.61052604899517,6.65106083696283
"Asp","slaser","ul",7,NA,NA
"Asp","slaser","ll",7,NA,NA
"GPC","steam","ul",3,4.00099788338761,4.56349171317737
"GPC","steam","ll",3,3.26027785593902,4.91177626025924
"GPC","steam","ul",7,4.2021313922066,3.98239064754698
"GPC","steam","ll",7,4.92298626524168,5.64972082630274
"GPC","slaser","ul",3,15.9612478854825,13.5860992428555
"GPC","slaser","ll",3,2.4177889683055,2.952664728788
"GPC","slaser","ul",7,8.79878262378139,6.86117245770533
"GPC","slaser","ll",7,3.49859040223059,2.77152503381899
"Cr","steam","ul",3,4.24797189767587,5.43532202882939
"Cr","steam","ll",3,4.24078901707936,4.90805033062238
"Cr","steam","ul",7,3.2139798222449,3.97763108876301
"Cr","steam","ll",7,12.1309450547154,10.312474286833
"Cr","slaser","ul",3,4.3367089862155,3.17497524889699
"Cr","slaser","ll",3,2.71963598223419,4.42765232915612
"Cr","slaser","ul",7,3.13737603582471,3.7480260736314
"Cr","slaser","ll",7,3.10441336319085,3.59356911344557
"PCr","steam","ul",3,5.86771403413237,4.9699794762133
"PCr","steam","ll",3,6.32974700432811,9.35365007040225
"PCr","steam","ul",7,3.48402916144274,3.32133162854987
"PCr","steam","ll",7,5.47672279463143,7.72530946763941
"PCr","slaser","ul",3,7.09012003076927,7.37022703237003
"PCr","slaser","ll",3,2.81592583442764,4.92826393676781
"PCr","slaser","ul",7,2.99312502686993,3.21696224808285
"PCr","slaser","ll",7,3.62137866011549,3.91907781762917
"GABA","steam","ul",3,16.9103221950605,18.0992127041883
"GABA","steam","ll",3,47.4120274621939,43.4037666200224
"GABA","steam","ul",7,19.9818560395648,23.0676974431523
"GABA","steam","ll",7,31.4343332863964,30.135114931209
"GABA","slaser","ul",3,NA,NA
"GABA","slaser","ll",3,NA,NA
