sequence,field,location,metabolite,mean_CRLB,std_CRLB,mean_tCr,std_tCr,mean_tissue,std_tissue
steam,3,ll,Asc,24.3,5.848076607,0.166309189,0.038789905,1.736189483,0.44199017
steam,7,ll,Asc,10.6,1.635542723,0.310510009,0.023566752,2.872165988,0.207238351
slaser,3,ll,Asc,12.7,1.680773631,0.305116269,0.04076776,3.793364672,0.572319836
slaser,7,ll,Asc,11,1.369306394,0.229007731,0.038232437,2.361051197,0.407895685
steam,3,ll,Asp,14.5,6.480740698,0.312692396,0.056881144,3.231544275,0.580257376
steam,7,ll,Asp,38.25,5.303300859,0.104528865,0.030637312,0.964806703,0.33363146
slaser,3,ll,Asp,17.1,2.043281674,0.299871713,0.025448454,3.71605312,0.431691124
steam,3,ll,Cr,6.1,0.547722558,0.600482791,0.035226883,6.228014517,0.573994838
steam,7,ll,Cr,6.2,1.524795068,0.588162207,0.119911749,5.535461197,1.189585455
slaser,3,ll,Cr,8.1,0.418330013,0.49315059,0.018623987,5.915076125,0.878839519
slaser,7,ll,Cr,4,0.353553391,0.534451514,0.009483497,5.7567182,0.154255368
steam,3,ll,Cr_PCr,2.1,0.223606798,0.999988752,4.64E-05,10.36987528,0.660265466
slaser,3,ll,Mac,3,0,1.52E-05,6.65E-07,0.000174981,2.86E-05
steam,7,ll,Cr_PCr,2.3,0.974679434,1,0,9.239529618,0.434828557
slaser,3,ll,Cr_PCr,2,0,1.000584992,0.001285922,12.60444902,0.83834717
slaser,7,ll,Cr_PCr,1,0,0.999991965,3.39E-05,10.2974951,0.261632954
steam,3,ll,GABA,29.7,12.06026534,0.152901724,0.081440154,1.599518478,0.840794773
steam,7,ll,GABA,21.9,7.101056259,0.133347301,0.090518611,1.276648671,0.87265013
slaser,3,ll,GABA,49,NA,0.082313561,NA,0.872354688,NA
slaser,7,ll,GABA,28.4,5.650221235,0.085316737,0.01413232,0.964067331,0.176166514
steam,3,ul,Asc,34,10.23067284,0.11613714,0.039377398,1.237899241,0.46634017
steam,7,ul,Asc,21.3,4.147288271,0.179099164,0.029290057,1.818050335,0.343052968
slaser,3,ul,Asc,37.33333333,2.309401077,0.111610098,0.013803453,1.293519522,0.082204986
slaser,7,ul,Asc,14.4,2.459674775,0.184020365,0.026648315,1.819014003,0.265006369
steam,3,ul,Asp,12.7,3.134485604,0.307674174,0.050166597,3.269190834,0.45476076
slaser,3,ul,Asp,24.8,8.258329129,0.269229743,0.049827927,3.229001733,0.706937833
steam,3,ul,Cr,6.4,0.418330013,0.57600704,0.013065475,6.147010903,0.351897505
steam,7,ul,Cr,6.8,2.196588264,0.534173306,0.0376389,5.518047385,0.605361182
slaser,3,ul,Cr,7.9,1.024695077,0.575966807,0.035855977,6.867840446,0.647621521
slaser,7,ul,Cr,4.9,0.741619849,0.48715731,0.03537773,4.414730447,1.504458168
steam,3,ul,Cr_PCr,2,0,1.000010149,4.39E-05,10.66198199,0.409490218
steam,7,ul,Cr_PCr,2.1,0.223606798,0.999990624,2.10E-05,10.13426796,0.587378792
slaser,3,ul,Mac,4.8,1.483239697,1.22E-05,1.59E-06,0.000136354,9.43E-06
slaser,3,ul,Cr_PCr,2.3,0.447213595,1.000013866,3.50E-05,11.34306542,0.454295602
slaser,7,ul,Cr_PCr,1.2,0.447213595,0.999992783,3.41E-05,9.84461862,0.443331157
steam,3,ul,GABA,31.75,5.303300859,0.104821477,0.016448245,1.10720329,0.201996921
slaser,3,ul,PCho,32.9,8.605230967,0.06003899,0.017462136,0.717969674,0.20531593
steam,7,ul,GABA,30.25,2.474873734,0.06525883,0.000138734,0.700301563,0.05550257
slaser,3,ul,GABA,39.66666667,6.658328118,0.129700431,0.034763531,1.59789942,0.521234362
slaser,7,ul,GABA,25.8,13.7140439,0.122750735,0.039524662,1.275531463,0.401286831
