"sequence","field","location","sub","session","metabolite","CRLB","tCr","tissue"
"steam",3,"ul","sub-01",1,"Mac",2,0.000116768,0.001257552
"steam",3,"ul","sub-01",1,"Asc",566,0.005710646,0.061505675
"steam",3,"ul","sub-01",1,"Asp",9,0.354845559,3.821811657
"steam",3,"ul","sub-01",1,"PCho",230,0.006814564,0.073395246
"steam",3,"ul","sub-01",1,"GPC",5,0.28839826,3.106150844
"steam",3,"ul","sub-01",1,"Cr",5,0.595584334,6.414653067
"steam",3,"ul","sub-01",1,"PCr",7,0.404415667,4.355699196
"steam",3,"ul","sub-01",1,"GABA",29,0.102112303,1.099785466
"steam",3,"ul","sub-01",1,"Glc",22,0.147011995,1.583370967
"steam",3,"ul","sub-01",1,"Gln",11,0.281180343,3.028411335
"steam",3,"ul","sub-01",1,"Glu",3,1.076318862,11.59233331
"steam",3,"ul","sub-01",1,"GSH",12,0.129073347,1.390165413
"steam",3,"ul","sub-01",1,"Ins",3,0.873792591,9.411054009
"steam",3,"ul","sub-01",1,"NAA",2,1.419488378,15.28838985
"steam",3,"ul","sub-01",1,"NAAG",6,0.294023989,3.166741934
"steam",3,"ul","sub-01",1,"PE",52,0.086827301,0.935160616
"steam",3,"ul","sub-01",1,"sIns",16,0.034285108,0.369262688
"steam",3,"ul","sub-01",1,"Tau",11,0.263347845,2.836349004
"steam",3,"ul","sub-01",1,"Cr_PCr",2,1,10.77149551
"steam",3,"ul","sub-01",1,"NAA_NAAG",1,1.713512367,18.45513181
"steam",3,"ul","sub-01",1,"Glu_Gln",3,1.357499204,14.62074463
"steam",3,"ul","sub-01",1,"PCho_GPC",3,0.295212824,3.17954609
"steam",3,"ll","sub-01",1,"Mac",3,0.000103708,0.001006428
"steam",3,"ll","sub-01",1,"Asc",21,0.173278399,1.681568234
"steam",3,"ll","sub-01",1,"Asp",10,0.380105945,3.68871184
"steam",3,"ll","sub-01",1,"PCho",999,0,0
"steam",3,"ll","sub-01",1,"GPC",3,0.293819894,2.851354832
"steam",3,"ll","sub-01",1,"Cr",6,0.582695703,5.654730135
"steam",3,"ll","sub-01",1,"PCr",8,0.417304297,4.049700673
"steam",3,"ll","sub-01",1,"GABA",68,0.050382578,0.488934242
"steam",3,"ll","sub-01",1,"Glc",49,0.076986463,0.7471098
"steam",3,"ll","sub-01",1,"Gln",15,0.239434962,2.323580019
"steam",3,"ll","sub-01",1,"Glu",4,1.071218364,10.39556449
"steam",3,"ll","sub-01",1,"GSH",14,0.127369041,1.236044042
"steam",3,"ll","sub-01",1,"Ins",3,0.835432607,8.107397934
"steam",3,"ll","sub-01",1,"NAA",2,1.262978222,12.25648477
"steam",3,"ll","sub-01",1,"NAAG",7,0.278516775,2.702846768
"steam",3,"ll","sub-01",1,"PE",37,0.129134785,1.253179588
"steam",3,"ll","sub-01",1,"sIns",19,0.034020012,0.33014485
"steam",3,"ll","sub-01",1,"Tau",11,0.320776928,3.112957499
"steam",3,"ll","sub-01",1,"Cr_PCr",2,1,9.704430808
"steam",3,"ll","sub-01",1,"NAA_NAAG",1,1.541377281,14.95818917
"steam",3,"ll","sub-01",1,"Glu_Gln",4,1.310653325,12.71914451
"steam",3,"ll","sub-01",1,"PCho_GPC",4,0.293819894,2.851354832
"steam",3,"ul","sub-01",2,"Mac",2,0.000104945,0.001123514
"steam",3,"ul","sub-01",2,"Asc",89,0.041844672,0.447998305
"steam",3,"ul","sub-01",2,"Asp",14,0.277576953,2.971800277
"steam",3,"ul","sub-01",2,"PCho",31,0.043378245,0.464417092
"steam",3,"ul","sub-01",2,"GPC",6,0.247453171,2.649288409
"steam",3,"ul","sub-01",2,"Cr",7,0.575638076,6.162908626
"steam",3,"ul","sub-01",2,"PCr",9,0.424361924,4.543312658
"steam",3,"ul","sub-01",2,"GABA",27,0.130791982,1.400287898
"steam",3,"ul","sub-01",2,"Glc",35,0.102639939,1.098885896
"steam",3,"ul","sub-01",2,"Gln",17,0.213824077,2.289247886
"steam",3,"ul","sub-01",2,"Glu",4,1.035272209,11.08385337
"steam",3,"ul","sub-01",2,"GSH",14,0.129258408,1.383869112
"steam",3,"ul","sub-01",2,"Ins",3,0.867017198,9.282477978
"steam",3,"ul","sub-01",2,"NAA",2,1.380545514,14.78042577
"steam",3,"ul","sub-01",2,"NAAG",9,0.256216453,2.743110043
"steam",3,"ul","sub-01",2,"PE",999,0,0
"steam",3,"ul","sub-01",2,"sIns",17,0.037682113,0.403433029
"steam",3,"ul","sub-01",2,"Tau",13,0.268265967,2.872114795
"steam",3,"ul","sub-01",2,"Cr_PCr",2,1,10.70622129
"steam",3,"ul","sub-01",2,"NAA_NAAG",1,1.636871509,17.52470859
"steam",3,"ul","sub-01",2,"Glu_Gln",4,1.248986747,13.37192849
"steam",3,"ul","sub-01",2,"PCho_GPC",4,0.290831416,3.113705501
"steam",3,"ll","sub-01",2,"Mac",2,9.82e-05,0.001067783
"steam",3,"ll","sub-01",2,"Asc",21,0.166978536,1.817986617
"steam",3,"ll","sub-01",2,"Asp",12,0.305008255,3.32079164
"steam",3,"ll","sub-01",2,"PCho",84,0.019372592,0.210920003
"steam",3,"ll","sub-01",2,"GPC",5,0.278150799,3.028379817
"steam",3,"ll","sub-01",2,"Cr",6,0.554760594,6.039981907
"steam",3,"ll","sub-01",2,"PCr",8,0.445239406,4.847564845
"steam",3,"ll","sub-01",2,"GABA",45,0.070886077,0.771775467
"steam",3,"ll","sub-01",2,"Glc",45,0.079581728,0.866449785
"steam",3,"ll","sub-01",2,"Gln",15,0.227517888,2.477111627
"steam",3,"ll","sub-01",2,"Glu",4,0.976004403,10.62629356
"steam",3,"ll","sub-01",2,"GSH",11,0.149367089,1.626241164
"steam",3,"ll","sub-01",2,"Ins",3,0.847660985,9.228948544
"steam",3,"ll","sub-01",2,"NAA",2,1.298073748,14.13283862
"steam",3,"ll","sub-01",2,"NAAG",10,0.191524491,2.08523185
"steam",3,"ll","sub-01",2,"PE",153,0.031700605,0.345141824
"steam",3,"ll","sub-01",2,"sIns",14,0.044689049,0.486554098
"steam",3,"ll","sub-01",2,"Tau",11,0.293450744,3.194958683
"steam",3,"ll","sub-01",2,"Cr_PCr",2,1,10.88874516
"steam",3,"ll","sub-01",2,"NAA_NAAG",1,1.48959824,16.21807047
"steam",3,"ll","sub-01",2,"Glu_Gln",3,1.203632361,13.10460379
"steam",3,"ll","sub-01",2,"PCho_GPC",3,0.297523391,3.23929982
"steam",3,"ul","sub-02",1,"Mac",2,9.07e-05,0.000954377
"steam",3,"ul","sub-02",1,"Asc",999,0,0
"steam",3,"ul","sub-02",1,"Asp",9,0.403583993,4.246687551
"steam",3,"ul","sub-02",1,"PCho",999,0,0
"steam",3,"ul","sub-02",1,"GPC",3,0.270778364,2.849248553
"steam",3,"ul","sub-02",1,"Cr",6,0.61796394,6.502487258
"steam",3,"ul","sub-02",1,"PCr",9,0.38203606,4.01995076
"steam",3,"ul","sub-02",1,"GABA",30,0.104001759,1.094352063
"steam",3,"ul","sub-02",1,"Glc",33,0.102352682,1.076999758
"steam",3,"ul","sub-02",1,"Gln",13,0.243183817,2.558886642
"steam",3,"ul","sub-02",1,"Glu",4,0.98526825,10.36742409
"steam",3,"ul","sub-02",1,"GSH",8,0.177220756,1.864794424
"steam",3,"ul","sub-02",1,"Ins",2,0.954485488,10.04351439
"steam",3,"ul","sub-02",1,"NAA",2,1.305518909,13.7372418
"steam",3,"ul","sub-02",1,"NAAG",8,0.256816183,2.702332367
"steam",3,"ul","sub-02",1,"PE",50,0.081134565,0.853733428
"steam",3,"ul","sub-02",1,"sIns",14,0.042216359,0.444219019
"steam",3,"ul","sub-02",1,"Tau",13,0.240325418,2.528809312
"steam",3,"ul","sub-02",1,"Cr_PCr",2,1,10.52243802
"steam",3,"ul","sub-02",1,"NAA_NAAG",1,1.562445031,16.44073099
