"Subject","Metabolite","Sequence","Location","Field","CV_tCr","CV_tissue"
"sub-01","Mac","steam","ul",3,7.54139222685954,7.96107111156789
"sub-02","Mac","steam","ul",3,1.69459141460828,1.13891131064493
"sub-03","Mac","steam","ul",3,2.31276597117345,2.6982745119775
"sub-04","Mac","steam","ul",3,1.92323644394503,0.31930548457542
"sub-05","Mac","steam","ul",3,4.62053439281758,2.15536903484643
"sub-01","Mac","steam","ll",3,3.85793940881541,4.18323271448283
"sub-02","Mac","steam","ll",3,22.9820463270612,21.0698821075516
"sub-03","Mac","steam","ll",3,7.60329872243599,0.155861756934258
"sub-04","Mac","steam","ll",3,3.14346901043483,4.59731653977291
"sub-05","Mac","steam","ll",3,19.0423729224384,18.8396815657451
"sub-01","Mac","steam","ul",7,NA,NA
"sub-02","Mac","steam","ul",7,NA,NA
"sub-03","Mac","steam","ul",7,NA,NA
"sub-04","Mac","steam","ul",7,NA,NA
"sub-05","Mac","steam","ul",7,NA,NA
"sub-01","Mac","steam","ll",7,NA,NA
"sub-02","Mac","steam","ll",7,NA,NA
"sub-03","Mac","steam","ll",7,NA,NA
"sub-04","Mac","steam","ll",7,NA,NA
"sub-05","Mac","steam","ll",7,NA,NA
"sub-01","Mac","slaser","ul",3,13.1375030384386,6.54130672862054
"sub-02","Mac","slaser","ul",3,8.97913372935298,3.31916159122587
"sub-03","Mac","slaser","ul",3,11.9422478600395,7.05046494521262
"sub-04","Mac","slaser","ul",3,3.33316327832043,66.8562349246463
"sub-05","Mac","slaser","ul",3,27.7902228413927,31.4929233536576
"sub-01","Mac","slaser","ll",3,0.895071874919687,6.63735818792065
"sub-02","Mac","slaser","ll",3,8.80985497871764,0.0298285153108438
"sub-03","Mac","slaser","ll",3,7.34020880124444,4.87353246659926
"sub-04","Mac","slaser","ll",3,6.26550312443777,90.2156328511561
"sub-05","Mac","slaser","ll",3,8.77787728369508,3.44824809114181
"sub-01","Mac","slaser","ul",7,0.619044460013025,0.91272642006603
"sub-02","Mac","slaser","ul",7,1.08785658644085,5.43865808936709
"sub-03","Mac","slaser","ul",7,2.24140329840923,0.508108139431422
"sub-04","Mac","slaser","ul",7,6.31238538446935,6.79142664281517
"sub-05","Mac","slaser","ul",7,5.52233832860365,2.76260872302532
"sub-01","Mac","slaser","ll",7,0.438132479984308,4.07812890157209
"sub-02","Mac","slaser","ll",7,5.27691627751155,6.01355269278804
"sub-03","Mac","slaser","ll",7,2.38912624117344,0.611011930304873
"sub-04","Mac","slaser","ll",7,3.33376320762607,0.0579057602724039
"sub-05","Mac","slaser","ll",7,0.337118148012143,1.82313469723017
"sub-01","Asp","steam","ul",3,17.2786876617167,17.6945288227508
"sub-02","Asp","steam","ul",3,16.3810437609686,19.1749968886135
"sub-03","Asp","steam","ul",3,3.97623329277002,3.57299924096169
"sub-04","Asp","steam","ul",3,5.81919605500579,4.21700954913557
"sub-05","Asp","steam","ul",3,8.56391126505138,6.11286491693853
"sub-01","Asp","steam","ll",3,15.5016742757471,7.42303271830349
"sub-02","Asp","steam","ll",3,10.3202860761397,12.3069109447424
"sub-03","Asp","steam","ll",3,41.639249140735,34.7216534788649
"sub-04","Asp","steam","ll",3,0.937907360836536,2.39239826906047
"sub-05","Asp","steam","ll",3,29.2611860383536,29.3787301668817
"sub-01","Asp","steam","ul",7,NA,NA
"sub-02","Asp","steam","ul",7,NA,NA
"sub-03","Asp","steam","ul",7,NA,NA
"sub-04","Asp","steam","ul",7,NA,NA
"sub-05","Asp","steam","ul",7,NA,NA
"sub-01","Asp","steam","ll",7,NA,NA
"sub-02","Asp","steam","ll",7,NA,NA
"sub-03","Asp","steam","ll",7,NA,NA
"sub-04","Asp","steam","ll",7,NA,NA
"sub-05","Asp","steam","ll",7,41.1785691187935,37.7729155682395
"sub-01","Asp","slaser","ul",3,12.6482392733319,19.1943920646242
"sub-02","Asp","slaser","ul",3,6.55772733783766,0.85928024661556
"sub-03","Asp","slaser","ul",3,12.6038023875605,17.7667463088547
"sub-04","Asp","slaser","ul",3,0.375762655013308,8.95996134829186
"sub-05","Asp","slaser","ul",3,22.1526498355939,25.9184831600115
"sub-01","Asp","slaser","ll",3,9.56893204532476,2.19097112664955
"sub-02","Asp","slaser","ll",3,7.33549823463077,1.477632868097
"sub-03","Asp","slaser","ll",3,8.97330161848571,11.4031017145563
"sub-04","Asp","slaser","ll",3,9.54513096003438,10.4176958598695
"sub-05","Asp","slaser","ll",3,2.62976738650026,7.76590261564173
"sub-01","Asp","slaser","ul",7,NA,NA
"sub-02","Asp","slaser","ul",7,NA,NA
"sub-03","Asp","slaser","ul",7,NA,NA
"sub-04","Asp","slaser","ul",7,NA,NA
"sub-05","Asp","slaser","ul",7,NA,NA
"sub-01","Asp","slaser","ll",7,NA,NA
"sub-02","Asp","slaser","ll",7,NA,NA
"sub-03","Asp","slaser","ll",7,NA,NA
"sub-04","Asp","slaser","ll",7,NA,NA
"sub-05","Asp","slaser","ll",7,NA,NA
"sub-01","GPC","steam","ul",3,10.8061856004213,11.2259207909982
"sub-02","GPC","steam","ul",3,0.950596160020072,3.78861825019779
"sub-03","GPC","steam","ul",3,0.0936350588768085,0.4971547629705
"sub-04","GPC","steam","ul",3,0.663777254130994,2.26781142970307
"sub-05","GPC","steam","ul",3,7.49079534348891,5.03795333201733
"sub-01","GPC","steam","ll",3,3.87422763618983,4.25786450598535
"sub-02","GPC","steam","ll",3,3.16663525914543,5.16432218789243
"sub-03","GPC","steam","ll",3,1.39088625865841,8.84292998879976
"sub-04","GPC","steam","ll",3,5.42431537998715,3.97122813704755
"sub-05","GPC","steam","ll",3,2.44532474571428,2.32253648157113
"sub-01","GPC","steam","ul",7,5.31009652561709,2.15537705515272
"sub-02","GPC","steam","ul",7,0.853449594982863,0.144367667394268
"sub-03","GPC","steam","ul",7,0.257173216266794,0.0432610679719321
"sub-04","GPC","steam","ul",7,10.7337054453441,12.7633061754051
"sub-05","GPC","steam","ul",7,3.8562321788221,4.80564127181093
"sub-01","GPC","steam","ll",7,7.31441575199361,6.99660604355917
"sub-02","GPC","steam","ll",7,3.41462195294563,6.28863752418349
"sub-03","GPC","steam","ll",7,1.10943988838551,1.71319528738595
"sub-04","GPC","steam","ll",7,10.5848820560645,7.37588932218906
"sub-05","GPC","steam","ll",7,2.19157167681913,5.87427595419601
"sub-01","GPC","slaser","ul",3,8.74943869276279,2.1290191169727
"sub-02","GPC","slaser","ul",3,25.9479155423317,20.3987158327597
"sub-03","GPC","slaser","ul",3,11.5542505506087,6.35200612536851
"sub-04","GPC","slaser","ul",3,24.8764272884789,34.2415962579249
"sub-05","GPC","slaser","ul",3,8.67820735323034,4.80915888125166
"sub-01","GPC","slaser","ll",3,5.89088426649781,1.49807762624054
"sub-02","GPC","slaser","ll",3,0.922944032109603,9.72734752077557
"sub-03","GPC","slaser","ll",3,0.97253870478625,1.46993105179744
"sub-04","GPC","slaser","ll",3,0.897859302319607,0.329779353594752
